time_UTC,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050110:2200,9.08,89.1,0.0,-0.0,0.0,271.3,3.1,347.0,101560.0
20050110:2300,8.74,89.1,0.0,-0.0,0.0,271.5,3.03,346.0,101550.0
20050111:0000,8.18,92.4,0.0,-0.0,0.0,279.65,2.97,344.0,101540.0
20050111:0100,7.75,95.8,0.0,-0.0,0.0,282.85,2.9,341.0,101520.0
20050111:0200,7.45,99.4,0.0,-0.0,0.0,294.95,3.03,340.0,101510.0
20050111:0300,7.15,95.8,0.0,-0.0,0.0,289.1,3.1,341.0,101470.0
20050111:0400,6.88,95.8,0.0,-0.0,0.0,289.3,3.24,344.0,101450.0
20050111:0500,6.77,95.8,0.0,-0.0,0.0,295.5,3.17,346.0,101450.0
20050111:0600,6.59,99.4,43.7,0.0,43.7,308.65,3.1,347.0,101470.0
20050111:0700,7.37,95.8,219.1,628.54,87.15,299.75,2.69,347.0,101520.0
20050111:0800,9.22,89.15,341.65,656.04,114.3,297.45,2.55,346.0,101550.0
20050111:0900,11.22,80.15,459.45,808.39,100.55,294.15,2.41,342.0,101530.0
20050111:1000,12.97,69.45,507.45,841.91,90.25,275.4,2.48,341.0,101480.0
20050111:1100,14.0,62.45,481.7,793.26,86.85,276.55,2.34,338.0,101400.0
20050111:1200,14.62,56.0,397.55,705.71,79.65,278.3,2.21,335.0,101310.0
20050111:1300,14.89,54.1,265.65,558.02,66.5,278.85,2.0,335.0,101280.0
20050111:1400,14.75,54.1,109.65,310.65,40.25,278.65,1.72,334.0,101270.0
20050111:1500,14.03,60.2,3.75,0.0,3.75,277.1,1.31,330.0,101260.0
20050111:1600,12.09,74.6,0.0,-0.0,0.0,273.65,1.24,327.0,101250.0
20050111:1700,11.46,66.75,0.0,-0.0,0.0,271.3,1.17,327.0,101250.0
20050111:1800,11.0,69.15,0.0,-0.0,0.0,269.6,1.17,325.0,101270.0
20050111:1900,11.67,66.85,0.0,-0.0,0.0,267.85,0.83,330.0,101280.0
20050111:2000,11.02,74.45,0.0,-0.0,0.0,266.3,0.97,336.0,101280.0
20050111:2100,10.31,77.15,0.0,-0.0,0.0,265.5,1.03,337.0,101260.0
20050111:2200,9.7,79.95,0.0,-0.0,0.0,264.15,1.03,339.0,101240.0
20050111:2300,9.38,85.95,0.0,-0.0,0.0,263.0,1.03,344.0,101220.0
20050112:0000,7.81,92.4,0.0,-0.0,0.0,269.2,1.17,354.0,101200.0
20050112:0100,6.22,95.8,0.0,-0.0,0.0,271.8,1.31,6.0,101190.0
20050112:0200,5.1,99.4,0.0,-0.0,0.0,284.1,1.31,10.0,101170.0
20050112:0300,4.98,99.4,0.0,-0.0,0.0,291.25,1.45,14.0,101140.0
20050112:0400,5.09,99.4,0.0,-0.0,0.0,298.2,1.52,14.0,101140.0
20050112:0500,5.29,99.4,0.0,-0.0,0.0,300.75,1.72,13.0,101150.0
20050112:0600,5.3,95.75,39.25,0.0,39.25,296.1,1.59,6.0,101190.0
20050112:0700,6.6,95.8,220.25,621.47,89.1,298.05,1.31,15.0,101250.0
20050112:0800,8.52,92.4,364.85,748.08,104.5,293.2,1.03,17.0,101290.0
20050112:0900,10.69,80.1,466.95,825.43,98.95,305.95,0.76,10.0,101270.0
20050112:1000,12.38,72.05,512.8,853.22,88.1,289.9,0.14,308.0,101200.0
20050112:1100,13.35,67.05,486.55,800.92,85.85,273.85,0.62,246.0,101140.0
20050112:1200,13.84,62.45,402.55,713.93,78.95,275.2,0.83,236.0,101090.0
20050112:1300,14.02,62.45,267.05,548.96,69.5,277.3,0.76,226.0,101060.0
20050112:1400,13.89,60.2,111.0,300.5,42.95,278.1,0.83,204.0,101050.0
20050112:1500,13.35,64.65,4.3,0.0,4.3,277.1,1.1,192.0,101040.0
20050112:1600,11.74,74.6,0.0,-0.0,0.0,275.4,1.24,187.0,101040.0
20050112:1700,10.82,74.45,0.0,-0.0,0.0,275.4,1.17,180.0,101060.0
20050112:1800,11.34,69.25,0.0,-0.0,0.0,274.2,0.97,170.0,101060.0
20050112:1900,10.29,77.15,0.0,-0.0,0.0,272.3,1.03,166.0,101070.0
20050112:2000,10.6,80.05,0.0,-0.0,0.0,273.65,0.83,166.0,101060.0
20050112:2100,10.3,80.05,0.0,-0.0,0.0,269.4,0.69,169.0,101040.0
20050112:2200,10.03,82.95,0.0,-0.0,0.0,270.15,0.48,177.0,101000.0
20050112:2300,9.8,82.95,0.0,-0.0,0.0,270.55,0.14,167.0,100990.0
20050113:0000,9.41,82.9,0.0,-0.0,0.0,272.1,0.41,32.0,100960.0
20050113:0100,8.75,89.1,0.0,-0.0,0.0,279.35,0.97,34.0,100960.0
20050113:0200,6.27,95.8,0.0,-0.0,0.0,292.6,1.31,35.0,100900.0
20050113:0300,5.45,99.4,0.0,-0.0,0.0,282.55,1.31,40.0,100850.0
20050113:0400,5.36,99.4,0.0,-0.0,0.0,306.55,1.24,43.0,100830.0
20050113:0500,5.42,99.4,0.0,-0.0,0.0,311.0,1.31,42.0,100840.0
20050113:0600,5.81,99.4,39.95,0.0,39.95,315.85,0.0,0.0,100840.0
20050113:0700,7.47,95.8,198.65,542.31,83.55,307.9,0.0,0.0,100870.0
20050113:0800,10.56,89.25,302.45,505.71,125.65,295.5,1.1,42.0,100890.0
20050113:0900,12.02,77.35,377.45,588.44,113.95,306.15,0.69,72.0,100850.0
20050113:1000,12.8,69.45,383.6,523.41,121.85,297.65,0.41,128.0,100810.0
20050113:1100,13.19,62.3,371.7,469.84,135.4,310.4,0.48,165.0,100720.0
20050113:1200,13.44,60.05,283.25,359.09,119.45,324.95,0.48,192.0,100650.0
20050113:1300,13.45,57.9,206.45,312.19,93.15,327.45,0.48,230.0,100620.0
20050113:1400,13.31,57.9,85.7,153.54,50.45,316.05,0.55,250.0,100600.0
20050113:1500,12.89,62.2,4.45,0.0,4.45,311.0,0.62,250.0,100580.0
20050113:1600,12.35,62.2,0.0,-0.0,0.0,320.3,0.55,255.0,100570.0
20050113:1700,12.26,57.75,0.0,-0.0,0.0,327.45,0.28,288.0,100580.0
20050113:1800,12.0,59.85,0.0,-0.0,0.0,327.05,0.34,8.0,100590.0
20050113:1900,10.72,69.15,0.0,-0.0,0.0,322.8,0.97,358.0,100590.0
