hour,Load (kW)
1546,109.060151664491
1547,111.429261119795
1548,111.193226827816
1549,111.381321956604
1550,111.546874287869
1551,111.618074692516
1552,111.962110280739
1553,112.240688644426
1554,112.733127256111
1555,110.67
1556,110.67
1557,110.67
1558,117.92
1559,117.92
1560,117.92
1561,117.92
1562,117.92
1563,117.92
1564,117.92
1565,117.92
1566,117.92
1567,93.17
1568,93.17
1569,109.706588188739
1570,110.788557987317
1571,113.106106928317
1572,112.994868575347
1573,112.884680587846
1574,113.095041697429
1575,112.872269551773
1576,112.88343853536
1577,113.487972908919
1578,114.001898712602
1579,110.67
1580,110.67
1581,110.67
1582,117.92
1583,117.92
1584,117.92
1585,117.92
1586,117.92
1587,117.92
1588,117.92
1589,117.92
1590,117.92
1591,93.17
1592,93.17
1593,110.322428764846
1594,111.548327010335
1595,112.722286827888
1596,112.394572058188
1597,111.454976177857
1598,110.379846943899
1599,109.545164110931
1600,109.188583091439
1601,109.398596020071
1602,110.702976291179
1603,110.67
1604,110.67
1605,110.67
1606,117.92
1607,117.92
1608,117.92
1609,117.92
1610,117.92
1611,117.92
1612,117.92
1613,117.92
1614,117.92
1615,93.17
1616,93.17
1617,109.531969560175
1618,109.599464722416
1619,110.260126767062
1620,109.392751038029
1621,108.219007710935
1622,107.174426998989
1623,107.105628978514
1624,107.102464649994
1625,107.394979081404
1626,107.965017580057
1627,110.67
1628,110.67
1629,110.67
1630,117.92
1631,117.92
1632,117.92
1633,117.92
1634,117.92
1635,117.92
1636,117.92
1637,117.92
1638,117.92
1639,93.17
1640,93.17
1641,93.17
1642,93.17
1643,93.17
1644,93.17
1645,93.17
1646,93.17
1647,93.17
1648,93.17
1649,93.17
1650,93.17
1651,108.17
1652,108.17
1653,108.17
1654,117.92
1655,117.92
1656,117.92
1657,117.92
1658,117.92
1659,117.92
1660,117.92
1661,117.92
1662,117.92
1663,93.17
1664,93.17
1665,93.17
1666,93.17
1667,93.17
1668,93.17
1669,93.17
1670,93.17
1671,93.17
1672,93.17
1673,93.17
1674,93.17
1675,108.17
1676,108.17
1677,108.17
1678,117.92
1679,117.92
1680,117.92
1681,117.92
1682,117.92
1683,117.92
1684,117.92
1685,117.92
1686,117.92
1687,93.17
1688,93.17
1689,108.740574432718
1690,109.210896978788
1691,111.372005990265
1692,111.152537578822
1693,111.026887680934
1694,110.648687187143
1695,109.465314289721
1696,109.129739866677
1697,109.580702228797
1698,110.117011084771
1699,110.67
1700,110.67
1701,110.67
1702,117.92
1703,117.92
1704,117.92
1705,117.92
1706,117.92
1707,117.92
1708,117.92
1709,117.92
1710,117.92
1711,93.17
1712,93.17
1713,109.296625370854
1714,109.717300259973
1715,111.182550593025
1716,111.561203267554
1717,110.995409057574
1718,111.110324955052
1719,110.391363207515
1720,109.937665302087
1721,109.984211744253
1722,110.512472683034
1723,110.67
1724,110.67
1725,110.67
1726,117.92
1727,117.92
1728,117.92
1729,117.92
1730,117.92
1731,117.92
1732,117.92
1733,117.92
1734,117.92
1735,93.17
1736,93.17
1737,109.149215316368
1738,109.706203525834
1739,110.638592687655
1740,110.110175300095
1741,109.694927299222
1742,109.111605404347
1743,108.746416818145
1744,109.110260387845
1745,109.959207549849
1746,110.066837472363
1747,110.67
1748,110.67
1749,110.67
1750,117.92
1751,117.92
1752,117.92
1753,117.92
1754,117.92
1755,117.92
1756,117.92
1757,117.92
1758,117.92
1759,93.17
1760,93.17
1761,109.167280338419
1762,109.249683477368
1763,110.199263164686
1764,108.821633686558
1765,107.756040560561
1766,106.86454622651
1767,107.269150318841
1768,107.094255737965
1769,107.489890471224
1770,108.244551211139
1771,110.67
1772,110.67
1773,110.67
1774,117.92
1775,117.92
1776,117.92
1777,117.92
1778,117.92
1779,117.92
1780,117.92
1781,117.92
1782,117.92
1783,93.17
1784,93.17
1785,107.873592571874
1786,107.452458166442
1787,107.584849001144
1788,106.990336442312
1789,106.73
1790,106.73
1791,106.73
1792,106.73
1793,106.73
1794,106.95906353118
1795,110.67
1796,110.67
1797,110.67
1798,117.92
1799,117.92
1800,117.92
1801,117.92
1802,117.92
1803,117.92
1804,117.92
1805,117.92
1806,117.92
1807,93.17
1808,93.17
1809,93.17
