tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
0.00;230.86;100467.61;208859.95
0.00;220.88;100467.61;208859.95
0.00;154.91;100467.61;208859.95
0.00;138.82;100467.61;208859.95
0.00;171.37;100467.61;208859.95
0.00;190.90;100467.61;208859.95
0.00;91.77;100467.61;208859.95
0.00;193.74;100467.61;208859.95
0.00;200.25;100467.61;208859.95
0.00;125.19;100467.61;208859.95
0.00;224.24;100467.61;208859.95
0.00;187.97;100467.61;208859.95
0.00;173.64;100467.61;208859.95
0.00;196.50;100467.61;208859.95
0.00;205.33;100467.61;208859.95
0.00;97.35;100467.61;208859.95
0.00;170.23;100467.61;208859.95
0.00;101.70;100467.61;208859.95
0.00;149.11;100467.61;208859.95
0.00;91.67;100467.61;208859.95
0.00;240.59;100467.61;208859.95
0.00;241.06;100467.61;208859.95
0.00;200.19;100467.61;208859.95
0.00;223.80;100467.61;208859.95
0.00;203.67;100467.61;208859.95
0.00;111.72;100467.61;208859.95
0.00;244.15;100467.61;208859.95
0.00;199.01;100467.61;208859.95
0.00;145.11;100467.61;208859.95
0.00;254.46;100467.61;208859.95
0.00;145.16;100467.61;208859.95
0.00;158.01;100467.61;208859.95
0.00;208.39;100467.61;208859.95
0.00;167.86;100467.61;208859.95
0.00;187.00;100467.61;208859.95
0.00;200.40;100467.61;208859.95
0.00;134.86;100467.61;208859.95
0.00;206.91;100467.61;208859.95
0.00;226.55;100467.61;208859.95
0.00;120.44;100467.61;208859.95
0.00;175.71;100467.61;208859.95
0.00;96.88;100467.61;208859.95
0.00;112.05;100467.61;208859.95
0.00;153.61;100467.61;208859.95
0.00;95.71;100467.61;208859.95
0.00;127.27;100467.61;208859.95
0.00;196.58;100467.61;208859.95
0.00;243.69;100467.61;208859.95
0.00;140.74;100467.61;208859.95
0.00;128.64;100467.61;208859.95
0.00;123.49;100467.61;208859.95
0.00;199.86;100467.61;208859.95
0.00;169.98;100467.61;208859.95
0.00;182.32;100467.61;208859.95
0.00;141.62;100467.61;208859.95
0.00;185.11;100467.61;208859.95
0.00;137.44;100467.61;208859.95
0.00;163.21;100467.61;208859.95
