tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
42.34;124.03;102994.09;291493.80
41.83;122.19;103004.73;291514.94
42.17;123.28;103009.22;291546.06
41.78;121.70;103027.52;291565.45
42.51;124.11;103029.91;291593.13
42.02;122.42;103035.56;291609.92
42.16;122.87;103037.76;291624.13
42.31;123.08;103058.95;291687.34
42.46;123.21;103084.54;291759.70
42.37;122.73;103098.45;291795.26
42.18;121.93;103110.42;291810.21
43.03;124.53;103122.14;291833.63
43.17;124.81;103130.58;291844.70
43.52;125.53;103153.83;291869.09
43.42;125.19;103157.76;291899.37
43.05;124.08;103162.20;291958.99
43.55;125.21;103187.74;291978.44
43.73;125.58;103197.35;291981.71
43.80;125.63;103208.43;292007.63
42.68;122.20;103216.72;292111.92
43.23;123.69;103234.71;292163.82
43.27;123.71;103245.61;292192.66
43.27;123.55;103258.45;292228.57
43.49;123.79;103291.05;292310.77
42.63;120.64;103314.34;292317.60
43.10;122.17;103324.22;292397.21
43.75;123.92;103342.27;292440.73
42.77;120.29;103373.61;292454.43
42.68;119.69;103390.66;292458.39
42.99;120.83;103393.79;292538.18
43.99;123.96;103394.60;292572.26
43.65;122.73;103416.07;292640.77
43.05;120.25;103449.73;292651.16
43.17;120.53;103459.27;292692.08
43.28;120.89;103463.28;292719.36
44.63;124.74;103475.66;292737.81
43.73;121.73;103513.16;292873.09
44.01;122.55;103518.86;292897.66
44.05;122.43;103536.13;292939.74
44.06;122.42;103539.39;292947.70
43.92;121.70;103562.09;292993.36
43.94;121.62;103572.90;293017.98
44.62;123.48;103587.64;293053.82
44.17;122.08;103594.17;293078.27
44.36;122.57;103600.01;293095.60
44.25;122.03;103617.12;293132.94
45.14;124.11;103652.12;293180.75
44.17;121.12;103669.04;293235.75
44.87;123.16;103674.09;293263.06
44.64;122.36;103686.27;293299.02
45.07;123.29;103709.26;293340.72
44.72;122.24;103714.80;293364.46
44.58;121.76;103719.61;293370.53
44.79;122.32;103724.06;293386.19
44.91;122.61;103728.12;293395.02
44.99;122.65;103743.87;293430.42
44.87;122.29;103745.69;293435.57
45.13;122.97;103750.41;293440.87
45.42;123.43;103776.92;293489.43
45.65;123.87;103791.94;293504.62
45.37;122.92;103811.49;293577.78
45.38;122.89;103816.09;293588.37
44.79;121.01;103829.69;293605.74
45.05;121.15;103883.34;293729.76
45.41;122.17;103886.14;293747.34
45.29;121.75;103892.25;293759.13
45.55;122.33;103905.25;293787.99
45.94;123.02;103934.92;293839.38
45.15;120.65;103946.44;293854.52
46.13;123.35;103948.62;293857.84
45.90;122.60;103964.36;293909.67
46.01;122.57;103993.37;293970.33
45.36;120.56;104004.58;293977.24
45.87;122.02;104009.16;294008.58
45.85;121.93;104011.26;294013.25
45.67;121.28;104022.73;294033.35
45.57;120.93;104025.80;294033.65
46.58;123.32;104054.38;294072.10
45.40;119.95;104062.08;294072.25
47.32;124.45;104102.06;294097.00
45.38;118.76;104140.21;294163.99
47.58;124.56;104145.16;294167.58
46.40;121.73;104156.21;294308.93
47.07;123.08;104185.13;294335.54
47.17;123.21;104192.96;294344.49
47.29;123.30;104210.60;294373.15
47.28;123.28;104211.91;294376.66
47.31;123.32;104213.39;294377.31
47.17;122.84;104229.48;294429.10
47.07;122.58;104230.95;294440.75
46.09;119.66;104250.91;294448.60
46.41;120.43;104267.86;294511.56
46.60;120.93;104271.37;294529.10
46.78;121.25;104285.27;294559.12
46.64;120.76;104293.53;294569.44
